data,Ano,Mes,COR(ppm Pt Co),TURB.(FTU),pH,O.C.(ppm O2),O.D.(ppm O2),Cl-(ppm Cl-),DUR.(ppm CaCO3),Fe(ppm Fe),Mn(mg/l),Cond.(uS/cm),flag_IQR,flag_MAD,flag_IForest,flag_LOF,flag_KNN,flag_Ensemble,n_metodos,n_violacoes_conama,n_violacoes_sem_indicativos
2019-09-01,2019,Set,55.0,7.0,7.3,8.9,2.8,82.0,72.0,0.95,0.19,457.0,True,False,False,False,False,False,1,4,3
2019-10-01,2019,Out,60.0,17.0,7.3,8.5,3.4,52.0,72.0,0.53,0.17,502.0,False,False,False,False,False,False,0,5,4
2019-11-01,2019,Nov,261.0,254.0,7.1,11.0,2.8,31.0,48.0,3.02,0.38,345.0,True,True,False,False,False,False,2,6,5
2019-12-01,2019,Dez,307.0,152.0,7.0,9.5,3.5,28.0,50.0,1.2,0.14,261.0,True,True,False,False,False,False,2,5,4
2020-01-01,2020,Jan,205.0,218.0,7.1,10.3,3.7,21.0,46.0,5.39,0.27,203.0,False,True,False,False,False,False,1,6,5
2020-02-01,2020,Fev,192.0,152.0,7.0,8.2,4.6,22.0,70.0,5.44,0.53,185.0,True,True,False,False,False,False,2,6,5
2020-03-01,2020,Mar,80.0,42.0,7.1,6.5,3.8,19.0,50.0,1.71,0.12,209.0,False,False,False,False,False,False,0,5,4
2020-08-01,2020,Ago,57.0,10.0,7.2,11.4,2.9,46.0,67.0,0.58,0.13,404.0,False,False,False,False,False,False,0,5,4
2020-09-01,2020,Set,57.0,7.0,7.3,13.1,2.5,56.0,79.0,0.89,0.14,522.0,False,False,False,False,False,False,0,6,5
2020-10-01,2020,Out,64.0,7.0,7.3,11.3,2.5,40.0,75.0,0.92,0.12,575.0,False,False,False,False,False,False,0,6,5
2020-11-01,2020,Nov,101.0,58.0,7.2,9.5,3.2,38.0,69.0,3.03,0.33,443.0,False,False,False,False,False,False,0,5,4
2020-12-01,2020,Dez,233.0,252.0,7.3,8.6,2.8,36.0,67.0,1.82,0.18,290.0,True,True,False,False,False,False,2,6,5
2021-02-01,2021,Fev,202.0,136.0,7.3,8.4,3.5,34.0,59.0,1.0,0.12,225.0,False,False,False,False,False,False,0,6,5
2021-03-01,2021,Mar,136.0,93.0,7.2,10.2,3.2,27.0,57.0,1.44,0.06,243.0,False,False,False,False,False,False,0,4,3
2021-04-01,2021,Abr,53.0,6.0,7.2,7.0,2.8,39.0,56.0,0.64,0.11,349.0,False,False,False,False,False,False,0,5,4
2021-05-01,2021,Mai,50.0,6.0,7.3,6.6,3.0,44.0,66.0,0.75,0.15,389.0,False,False,False,False,False,False,0,5,4
2021-06-01,2021,Jun,47.0,4.0,7.4,7.0,2.1,47.0,72.0,0.63,0.16,426.0,False,False,False,False,False,False,0,5,4
2021-07-01,2021,Jul,46.0,4.0,7.4,7.7,3.4,41.0,66.0,0.89,0.14,456.0,False,False,False,False,False,False,0,5,4
2021-08-01,2021,Ago,41.0,10.0,7.4,8.2,2.5,58.0,63.0,0.84,0.14,559.0,False,False,False,False,False,False,0,5,4
2021-09-01,2021,Set,56.0,8.0,7.4,7.8,2.5,71.0,64.0,0.65,0.15,656.0,False,False,False,False,False,False,0,6,5
2021-10-01,2021,Out,69.0,21.0,7.4,11.2,3.0,61.0,66.0,1.02,0.12,520.0,False,False,False,False,False,False,0,6,5
2021-11-01,2021,Nov,71.0,27.0,7.5,6.7,3.6,45.0,54.0,1.51,0.14,445.0,False,False,False,False,False,False,0,6,5
2021-12-01,2021,Dez,105.0,66.0,7.4,5.1,3.2,51.0,60.0,0.97,0.12,392.0,False,False,False,False,False,False,0,7,6
2022-01-01,2022,Jan,196.0,146.0,7.4,9.5,3.9,21.0,45.0,4.8,0.24,256.0,False,True,False,False,False,False,1,7,6
2022-02-01,2022,Fev,138.0,98.0,7.4,9.7,4.5,21.0,59.0,2.96,0.16,223.0,False,False,False,False,False,False,0,5,4
2022-03-01,2022,Mar,77.0,46.0,7.2,7.8,3.6,80.0,57.0,1.44,0.11,277.0,True,False,False,False,False,False,1,5,4
